SMILES	Actividad	R1_CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	R1_CC(C)=CCCC(C)=CC[*:1]	R1_CC(C)=CC[*:1]	R1_CCCC[*:1]	R2_O[*:2]	R2_[H][*:2]	R3_O[*:3]	R3_[H][*:3]	R4_O[*:4]	R4_[H][*:4]	R5_C(O[*:5])O[*:6]	R5_CO[*:5]	R5_O[*:5]	R5_[H][*:5]	R6_C(O[*:5])O[*:6]	R6_CO[*:6]	R6_O[*:6]	R6_[H][*:6]
C1=C(C(=CC=C1)C(=O)OCCCC)O	3.28516748756667	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	0	1
C1=CC(=C(C=C1)O)C(=O)OCC=C(CCC=C(C)C)C	3.47925452848052	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	1
C1C=C(O)C=C(C(=O)OCCCC)C=1	3.56783273055741	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	0	1
C1C(O)=CC=C(C(=O)OCCCC)C=1	3.61332271603916	0	0	0	1	0	1	0	1	0	1	0	0	0	1	0	0	1	0
C1C(O)=CC=C(C(=O)OC/C=C(\C)/C)C=1	3.52331325705436	0	0	1	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0
C1C(O)=CC=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/C)C=1	3.86614187479666	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	1	0
C1C=C(O)C(O)=C(C(=O)OCCCC)C=1	3.68110228537251	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	1
C1C=C(O)C(O)=C(C(=O)OC/C=C(\C)/C)C=1	3.41668784801692	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1
C1C=C(O)C(O)=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/C)C=1	3.70663744528855	0	1	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1
C1C=C(O)C(O)=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)C=1	3.43699381293821	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1
C1C=CC(O)=C(C(=O)OCCCC)C=1O	3.29524909570933	0	0	0	1	0	1	1	0	1	0	0	0	0	1	0	0	0	1
C1C(O)=C(O)C=C(C(=O)OCCCC)C=1	3.6190655366693	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	0	1	0
C1C(O)=C(O)C=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/C)C=1	3.75006824336581	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	0	1	0
C1C(O)=CC(O)=C(C(=O)OCCCC)C=1	3.69464863055338	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	0	1	0
C1C(O)=CC(O)=C(C(=O)OC/C=C(\C)/C)C=1	3.33733659042596	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	1	0
C1(O)C=CC(O)=C(C(=O)OCCCC)C=1	3.58402558862343	0	0	0	1	1	0	0	1	1	0	0	0	0	1	0	0	0	1
C1(O)C=CC(O)=C(C(=O)OC/C=C(\C)/C)C=1	3.70619564008066	0	0	1	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1
C1C(O)=C(O)C(O)=C(C(=O)OCCCC)C=1	3.43297363384094	0	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	1	0
C1C(O)=C(O)C(O)=C(C(=O)OC/C=C(\C)/C)C=1	3.7862167006647	0	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0
C1C(O)=C(O)C(O)=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)C=1	3.57724605869865	1	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	1	0
C12OCOC1=CC=C(C(=O)OCCCC)C=2	3.6267201067225	0	0	0	1	0	1	0	1	0	1	1	0	0	0	1	0	0	0
C12OCOC1=CC=C(C(=O)OC/C=C(\C)/C)C=2	3.26472055193954	0	0	1	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0
C1C(O)=C(OC)C=C(C(=O)OCCCC)C=1	3.43450637013114	0	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0
C1C(O)=C(OC)C=C(C(=O)OC/C=C(\C)/C)C=1	3.34804393046693	0	0	1	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0
C1C(O)=C(OC)C=C(C(=O)OC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/C)C=1	3.82681373158773	1	0	0	0	0	1	0	1	0	1	0	1	0	0	0	0	1	0
CCCCOC(=O)c1ccc(OC)c(O)c1	3.65698550284923	0	0	0	1	0	1	0	1	0	1	0	0	1	0	0	1	0	0
