Variable	Coeficiente
R1_CCCC[*:1]	0.51764766779105
R1_CC(C)=CCCC(C)=CC[*:1]	-0.2651031851290008
R6_[H][*:6]	-0.1852700982199237
R1_CC(C)=CCCC(C)=CCCC(C)=CC[*:1]	-0.17082149807558897
R6_O[*:6]	0.14413805119726425
R1_CC(C)=CC[*:1]	-0.08172298458646032
R3_[H][*:3]	0.07664860526019848
R3_O[*:3]	-0.07664860526019848
R6_CO[*:6]	0.07368071588692024
R2_[H][*:2]	0.06717698904556686
R2_O[*:2]	-0.06717698904556679
R5_[H][*:5]	0.055804150840619716
R4_[H][*:4]	-0.05220528194590176
R4_O[*:4]	0.05220528194590175
R6_C(O[*:5])O[*:6]	-0.03254866886426113
R5_C(O[*:5])O[*:6]	-0.03254866886426112
R5_O[*:5]	-0.01235100015413795
R5_CO[*:5]	-0.010904481822220575
